Voltage U1	Current IA	Temperature Tact	Voltage U2	Voltage UH
U1/V	IA/nA	Tact/°C	U2/V	UH/V

13.69	0.05	195	2.0	6.3
13.72	0.07	195	2.0	6.3
13.74	0.07	195	2.0	6.3
13.77	0.07	195	2.0	6.3
13.79	0.08	195	2.0	6.3
13.82	0.07	195	2.0	6.3
13.84	0.05	195	2.0	6.3
13.87	0.05	195	2.0	6.3
13.89	0.05	195	2.0	6.3
13.91	0.03	195	2.0	6.3
13.94	0.02	195	2.0	6.3
13.96	0.02	195	2.0	6.3
13.99	0.02	195	2.0	6.3
14.01	0.02	195	2.0	6.3
14.04	0.03	195	2.0	6.3
14.06	0.03	195	2.0	6.3
14.09	0.03	195	2.0	6.3
14.11	0.03	195	2.0	6.3
14.13	0.03	195	2.0	6.3
14.16	0.03	195	2.0	6.3
14.18	0.03	195	2.0	6.3
14.21	0.06	195	2.0	6.3
14.23	0.07	195	2.0	6.3
14.26	0.07	195	2.0	6.3
14.28	0.08	195	2.0	6.3
14.31	0.08	195	2.0	6.3
14.33	0.06	195	2.0	6.3
14.35	0.04	195	2.0	6.3
14.38	0.05	195	2.0	6.3
14.40	0.04	195	2.0	6.3
14.43	0.04	195	2.0	6.3
14.45	0.04	195	2.0	6.3
14.48	0.03	195	2.0	6.3
14.50	0.05	195	2.0	6.3
14.52	0.05	195	2.0	6.3
14.55	0.06	195	2.0	6.3
14.57	0.07	195	2.0	6.3
14.60	0.09	195	2.0	6.3
14.62	0.09	195	2.0	6.3
14.65	0.10	195	2.0	6.3
14.67	0.10	195	2.0	6.3
14.70	0.13	195	2.0	6.3
14.72	0.14	195	2.0	6.3
14.74	0.15	195	2.0	6.3
14.77	0.17	195	2.0	6.3
14.79	0.18	195	2.0	6.3
14.82	0.15	195	2.0	6.3
14.84	0.15	195	2.0	6.3
14.87	0.15	195	2.0	6.3
14.89	0.14	195	2.0	6.3
14.92	0.15	195	2.0	6.3
14.94	0.17	195	2.0	6.3
14.96	0.17	195	2.0	6.3
14.99	0.18	195	2.0	6.3
15.01	0.19	195	2.0	6.3
15.04	0.19	195	2.0	6.3
15.06	0.20	195	2.0	6.3
15.09	0.23	195	2.0	6.3
15.11	0.24	195	2.0	6.3
15.14	0.26	195	2.0	6.3
15.16	0.28	195	2.0	6.3
15.18	0.32	195	2.0	6.3
15.21	0.32	195	2.0	6.3
15.23	0.34	195	2.0	6.3
15.26	0.36	195	2.0	6.3
15.28	0.37	195	2.0	6.3
15.31	0.35	195	2.0	6.3
15.33	0.36	195	2.0	6.3
15.36	0.37	195	2.0	6.3
15.38	0.37	195	2.0	6.3
15.40	0.38	195	2.0	6.3
15.43	0.40	195	2.0	6.3
15.45	0.41	195	2.0	6.3
15.48	0.43	195	2.0	6.3
15.50	0.44	195	2.0	6.3
15.53	0.46	195	2.0	6.3
15.55	0.48	195	2.0	6.3
15.57	0.52	195	2.0	6.3
15.60	0.53	195	2.0	6.3
15.62	0.55	195	2.0	6.3
15.65	0.57	195	2.0	6.3
15.67	0.62	195	2.0	6.3
15.70	0.63	195	2.0	6.3
15.72	0.66	195	2.0	6.3
15.75	0.68	195	2.0	6.3
15.77	0.70	195	2.0	6.3
15.79	0.69	195	2.0	6.3
15.82	0.69	195	2.0	6.3
15.84	0.70	195	2.0	6.3
15.87	0.71	195	2.0	6.3
15.89	0.73	195	2.0	6.3
15.92	0.75	195	2.0	6.3
15.94	0.77	195	2.0	6.3
15.97	0.79	195	2.0	6.3
15.99	0.82	194	2.0	6.3
16.01	0.84	194	2.0	6.3
16.04	0.87	194	2.0	6.3
16.06	0.90	195	2.0	6.3
16.09	0.91	194	2.0	6.3
16.11	0.94	195	2.0	6.3
16.14	0.95	195	2.0	6.3
16.16	0.99	195	2.0	6.3
16.19	1.02	194	2.0	6.3
16.21	1.04	194	2.0	6.3
16.23	1.07	194	2.0	6.3
16.26	1.09	194	2.0	6.3
16.28	1.09	194	2.0	6.3
16.31	1.08	194	2.0	6.3
16.33	1.11	195	2.0	6.3
16.36	1.10	194	2.0	6.3
16.38	1.11	194	2.0	6.3
16.41	1.13	194	2.0	6.3
16.43	1.16	195	2.0	6.3
16.45	1.17	194	2.0	6.3
16.48	1.19	195	2.0	6.3
16.50	1.21	195	2.0	6.3
16.53	1.23	195	2.0	6.3
16.55	1.24	195	2.0	6.3
16.58	1.25	195	2.0	6.3
16.60	1.26	195	2.0	6.3
16.63	1.27	195	2.0	6.3
16.65	1.30	195	2.0	6.3
16.67	1.30	195	2.0	6.3
16.70	1.31	195	2.0	6.3
16.72	1.33	195	2.0	6.3
16.75	1.33	195	2.0	6.3
16.77	1.31	195	2.0	6.3
16.80	1.28	195	2.0	6.3
16.82	1.27	195	2.0	6.3
16.84	1.25	195	2.0	6.3
16.87	1.23	195	2.0	6.3
16.89	1.23	195	2.0	6.3
16.92	1.25	195	2.0	6.3
16.94	1.25	195	2.0	6.3
16.97	1.24	195	2.0	6.3
16.99	1.24	195	2.0	6.3
17.02	1.22	195	2.0	6.3
17.04	1.21	195	2.0	6.3
17.06	1.19	195	2.0	6.3
17.09	1.17	195	2.0	6.3
17.11	1.15	195	2.0	6.3
17.14	1.15	195	2.0	6.3
17.16	1.12	195	2.0	6.3
17.19	1.10	195	2.0	6.3
17.21	1.09	195	2.0	6.3
17.24	1.07	195	2.0	6.3
17.26	1.04	195	2.0	6.3
17.28	1.00	195	2.0	6.3
17.31	0.99	195	2.0	6.3
17.33	0.94	195	2.0	6.3
17.36	0.90	195	2.0	6.3
17.38	0.87	195	2.0	6.3
17.41	0.85	195	2.0	6.3
17.43	0.82	195	2.0	6.3
17.46	0.80	195	2.0	6.3
17.48	0.79	195	2.0	6.3
17.50	0.77	195	2.0	6.3
17.53	0.75	195	2.0	6.3
17.55	0.72	195	2.0	6.3
